    longitude    |    latitude    |      country_name      |     place_name      | country_code 
-----------------+----------------+------------------------+---------------------+--------------
   -0.1167000011 |  51.5000000000 | United Kingdom         | London              | GB
 -115.7667007450 |  49.5167007446 | Canada                 | Cranbrook           | CA
  -97.1470031738 |  32.7597007751 | United States          | Arlington           | US
 -119.3119964600 |  34.3381004333 | United States          | Ventura             | US
    4.4000000954 |  52.0833015442 | Netherlands            | Leidschendam        | NL
  -84.9054031372 |  39.8381004333 | United States          | Richmond            | US
  -72.9241027832 |  41.3111000061 | United States          | New Haven           | US
  -82.4690017700 |  28.1490001678 | United States          | Lutz                | US
  -15.4167003632 |  28.1000003815 | Spain                  | Las Palmas          | ES
   18.3833007813 |  43.8499984741 | Bosnia and Herzegovina | Sarajevo            | BA
   -2.6166999340 |  53.5332984924 | United Kingdom         | Wigan               | GB
  -88.9518966675 |  39.8432998657 | United States          | Decatur             | US
 -123.1088027950 |  44.0539016724 | United States          | Eugene              | US
  144.7944030760 |  13.4617004395 | Guam                   | Barrigada           | GU
 -118.1616973880 |  33.7975997925 | United States          | Long Beach          | US
  -83.5811996460 |  41.6654014587 | United States          | Toledo              | US
 -118.1361999510 |  34.1562995911 | United States          | Pasadena            | US
 -122.0324020390 |  37.0101013184 | United States          | Santa Cruz          | US
  -80.9319000244 |  28.7010002136 | United States          | Mims                | US
  -88.8920974731 |  38.3177986145 | United States          | Mount Vernon        | US
   -3.2000000477 |  55.9500007629 | United Kingdom         | Edinburgh           | GB
 -122.6639022830 |  45.3422012329 | United States          | West Linn           | US
  -84.2295989990 |  39.1659011841 | United States          | Milford             | US
  -74.5044021606 |  43.0638999939 | United States          | Johnstown           | US
   -2.0167999268 |  53.7500000000 | United Kingdom         | Hebden Bridge       | GB
  -70.7985992432 |  42.0647010803 | United States          | Pembroke            | US
  -99.7863006592 |  32.4131011963 | United States          | Abilene             | US
  -84.3864974976 |  33.8003997803 | United States          | Atlanta             | US
  -74.5006027222 |  40.8064002991 | United States          | Morristown          | US
  -84.1785964966 |  39.7448997498 | United States          | Dayton              | US
  -87.9649963379 |  43.0522003174 | United States          | Milwaukee           | US
 -104.7833023070 |  39.6276016235 | United States          | Aurora              | US
  -73.0495986938 |  43.5737991333 | United States          | West Rutland        | US
  -63.1333007813 |  46.2332992554 | Canada                 | Charlottetown       | CA
  -79.6166992188 |  43.5167007446 | Canada                 | Clarkson            | CA
  -78.8200988770 |  43.0708007813 | United States          | North Tonawanda     | US
    7.6999998093 |  47.9166984558 | Germany                | Bad Krozingen       | DE
   -0.2500000000 |  52.5833015442 | United Kingdom         | Peterborough        | GB
  -84.1399002075 |  40.5766983032 | United States          | Wapakoneta          | US
  -84.2977981567 |  43.6439018250 | United States          | Midland             | US
  115.8332977300 | -31.9333000183 | Australia              | Perth               | AU
   -1.5832999945 |  52.2832984924 | United Kingdom         | Warwick             | GB
  150.8166046140 | -33.7667999268 | Australia              | Mount Druitt        | AU
   80.2833023071 |  13.0832996368 | India                  | Madras              | IN
  -77.6369018555 |  43.2089996338 | United States          | Rochester           | US
  -94.9413986206 |  46.3434982300 | United States          | Aldrich             | US
  -87.3147964478 |  39.4662017822 | United States          | Terre Haute         | US
  -95.9474029541 |  41.2112998962 | United States          | Omaha               | US
  -82.8031997681 |  27.9165000916 | United States          | Largo               | US
   -1.1667000055 |  52.9667015076 | United Kingdom         | Nottingham          | GB
 -112.2027969360 |  33.0167999268 | United States          | Maricopa            | US
   -3.6833000183 |  40.4000015259 | Spain                  | Madrid              | ES
  -86.1407012939 |  39.8061981201 | United States          | Indianapolis        | US
   19.1499996185 |  48.7332992554 | Slovakia               | Banská Bystrica     | SK
    7.9000000954 |  47.2999992371 | Switzerland            | Rothrist            | CH
  -89.6582031250 |  30.6432991028 | United States          | Carriere            | US
  -87.7036972046 |  41.9473991394 | United States          | Chicago             | US
  -66.9167022705 |  10.5000000000 | Venezuela              | Caracas             | VE
  -75.3648986816 |  40.6361007690 | United States          | Bethlehem           | US
  -93.9417037964 |  38.9842987061 | United States          | Odessa              | US
   -8.4435997009 |  52.8067016602 | Ireland                | Killaloe            | IE
  -82.3023986816 |  27.9002990723 | United States          | Brandon             | US
  -85.5426025391 |  36.2443008423 | United States          | Cookeville          | US
   -4.5666999817 |  55.9500007629 | United Kingdom         | Dumbarton           | GB
 -115.2049026490 |  36.1515007019 | United States          | Las Vegas           | US
 -117.3513031010 |  34.5337982178 | United States          | Victorville         | US
  -83.1201019287 |  39.8638992310 | United States          | Grove City          | US
  -95.4151992798 |  29.7754993439 | United States          | Houston             | US
  -84.0101013184 |  33.9542999268 | United States          | Lawrenceville       | US
  -93.1001968384 |  44.9486999512 | United States          | Saint Paul          | US
  -81.6285018921 |  38.3627014160 | United States          | Charleston          | US
    2.1833000183 |  41.3833007813 | Spain                  | Barcelona           | ES
  -83.5297012329 |  42.4165000916 | United States          | Northville          | US
  -79.9711990356 |  36.7044982910 | United States          | Fieldale            | US
  174.8831939700 | -41.2332992554 | New Zealand            | Petone              | NZ
 -122.7833023070 |  49.2667007446 | Canada                 | Coquitlam           | CA
 -123.4641036990 |  44.5910987854 | United States          | Philomath           | US
  -81.9616012573 |  28.0613994598 | United States          | Lakeland            | US
  144.9667053220 | -37.8166999817 | Australia              | Melbourne           | AU
  -84.2614974976 |  33.7503013611 | United States          | Decatur             | US
  -73.9069976807 |  40.7792015076 | United States          | Astoria             | US
  -97.3128967285 |  27.6348991394 | United States          | Corpus Christi      | US
  -95.4214019775 |  44.3993988037 | United States          | Lucan               | US
  -87.9760971069 |  41.8815994263 | United States          | Villa Park          | US
  -84.0254974365 |  43.4440994263 | United States          | Saginaw             | US
  -73.8379974365 |  42.6929016113 | United States          | Albany              | US
   35.5097007751 |  33.8718986511 | Lebanon                | Beirut              | LB
  -87.9649963379 |  43.0522003174 | United States          | Milwaukee           | US
  -73.5923004150 |  40.7057991028 | United States          | Uniondale           | US
 -108.1303024290 |  44.3534011841 | United States          | Basin               | US
 -122.1483993530 |  37.7034988403 | United States          | San Leandro         | US
  -79.4168014526 |  43.6666984558 | Canada                 | Toronto             | CA
  -81.6563034058 |  36.2191009521 | United States          | Boone               | US
  174.7832946780 | -41.2999992371 | New Zealand            | Wellington          | NZ
  -80.6615982056 |  41.0871009827 | United States          | Youngstown          | US
  -85.7960968018 |  30.2091999054 | United States          | Panama City Beach   | US
  113.2500000000 |  23.1166992188 | China                  | Guangzhou           | CN
    2.3333001137 |  48.8666992188 | France                 | Paris               | FR
 -119.3005981450 |  35.4961013794 | United States          | Shafter             | US
  144.2832946780 | -36.7667999268 | Australia              | Bendigo             | AU
  -79.5000000000 |  43.1500015259 | Canada                 | Mississauga         | CA
  -81.6473007202 |  41.4789009094 | United States          | Cleveland           | US
   14.0333003998 |  48.1666984558 | Austria                | Wels                | AT
    6.7500000000 |  51.4333000183 | Germany                | Duisburg            | DE
  151.2167053220 | -33.8833007813 | Australia              | Sydney              | AU
  -79.7491989136 |  39.8936996460 | United States          | Uniontown           | US
  -82.8038024902 |  34.1301994324 | United States          | Elberton            | US
  151.1833038330 | -33.7999992371 | Australia              | Chatswood           | AU
  -89.4442977905 |  38.8844985962 | United States          | Greenville          | US
  -96.5382003784 |  33.0162010193 | United States          | Wylie               | US
   11.5832996368 |  48.1500015259 | Germany                | Munich              | DE
  103.8557968140 |   1.2930999994 | Singapore              | Singapore           | SG
  -73.6938018799 |  40.8372993469 | United States          | Port Washington     | US
 -117.7596969600 |  34.0634994507 | United States          | Pomona              | US
  -81.2500000000 |  42.9832992554 | Canada                 | London              | CA
  -82.4781036377 |  27.9983997345 | United States          | Tampa               | US
 -121.4445037840 |  38.5764999390 | United States          | Sacramento          | US
  -74.2917022705 |  40.6777992249 | United States          | Kenilworth          | US
 -123.1088027950 |  44.0539016724 | United States          | Eugene              | US
 -123.4020996090 |  43.2178993225 | United States          | Roseburg            | US
   -2.0167999268 |  52.6833000183 | United Kingdom         | Cannock             | GB
   -0.1167000011 |  51.5000000000 | United Kingdom         | London              | GB
   23.7332000732 |  37.9832992554 | Greece                 | Athens              | GR
  -71.1328964233 |  42.3800010681 | United States          | Cambridge           | US
   34.8666992188 |  32.0222015381 | Israel                 | Qiryat Ono          | IL
   11.0333003998 |  50.9832992554 | Germany                | Erfurt              | DE
  -93.9401016235 |  41.8560981750 | United States          | Woodward            | US
   -0.5332999825 |  53.2332992554 | United Kingdom         | Lincoln             | GB
  -97.7373962402 |  33.8204002380 | United States          | Nocona              | US
    2.1833000183 |  41.3833007813 | Spain                  | Barcelona           | ES
  -82.7772979736 |  42.6757011414 | United States          | New Baltimore       | US
 -111.9288024900 |  33.3843994141 | United States          | Tempe               | US
 -110.6832962040 |  50.7999992371 | Canada                 | Buffalo             | CA
  -83.5811996460 |  41.6654014587 | United States          | Toledo              | US
  139.7514038090 |  35.6850013733 | Japan                  | Tokyo               | JP
  -96.7993011475 |  32.8097991943 | United States          | Dallas              | US
  -96.5968017578 |  39.1822013855 | United States          | Manhattan           | US
    5.4333000183 |  43.5332984924 | France                 | Aix-en-provence     | FR
  -84.7525024414 |  33.7220993042 | United States          | Douglasville        | US
   -0.0500000007 |  53.5332984924 | United Kingdom         | Grimsby             | GB
  103.8557968140 |   1.2930999994 | Singapore              | Singapore           | SG
  -83.3720016479 |  42.3684005737 | United States          | Livonia             | US
    5.7666997910 |  45.0833015442 | France                 | Vizille             | FR
    9.1999998093 |  45.4667015076 | Italy                  | Milan               | IT
  -85.6377029419 |  30.1954994202 | United States          | Panama City         | US
  -79.9576034546 |  37.2743988037 | United States          | Roanoke             | US
 -111.8589019770 |  48.2042007446 | United States          | Conrad              | US
  174.7832946780 | -41.2999992371 | New Zealand            | Wellington          | NZ
   18.0499992371 |  59.3333015442 | Sweden                 | Stockholm           | SE
 -112.0039978030 |  33.6237983704 | United States          | Phoenix             | US
  -82.5580978394 |  28.4655990601 | United States          | Spring Hill         | US
 -111.8733978270 |  33.6645011902 | United States          | Scottsdale          | US
 -103.2157974240 |  34.3926010132 | United States          | Clovis              | US
  174.7666931150 | -36.8666992188 | New Zealand            | Auckland            | NZ
   -1.5832999945 |  52.2832984924 | United Kingdom         | Warwick             | GB
  103.8557968140 |   1.2930999994 | Singapore              | Singapore           | SG
  -97.3188018799 |  27.8922996521 | United States          | Portland            | US
  -79.8000030518 |  43.3166999817 | Canada                 | Burlington          | CA
 -111.7273025510 |  33.4253005981 | United States          | Mesa                | US
   28.0832996368 | -26.2000007629 | South Africa           | Johannesburg        | ZA
   76.9499969482 |  43.2500000000 | Kazakhstan             | Almaty              | KZ
 -112.0839004520 |  33.5222015381 | United States          | Phoenix             | US
  -68.3096008301 |  45.8152008057 | United States          | Sherman             | US
  151.2167053220 | -33.8833007813 | Australia              | Sydney              | AU
  -79.4168014526 |  43.6666984558 | Canada                 | Toronto             | CA
   18.6000003815 | -33.9000015259 | South Africa           | Parow               | ZA
   28.0832996368 | -26.2000007629 | South Africa           | Johannesburg        | ZA
  -79.4499969482 |  44.0499992371 | Canada                 | Newmarket           | CA
 -116.4235000610 |  43.5992012024 | United States          | Meridian            | US
   55.2799987793 |  25.2520999908 | United Arab Emirates   | Dubai               | AE
  -71.4486999512 |  42.9841003418 | United States          | Manchester          | US
   -0.1167000011 |  51.5000000000 | United Kingdom         | London              | GB
  -82.8589019775 |  41.5227012634 | United States          | Port Clinton        | US
  -88.1592025757 |  42.1584014893 | United States          | Barrington          | US
  -77.2665023804 |  38.6257019043 | United States          | Woodbridge          | US
  -67.1275024414 |  18.1842994690 | Puerto Rico            | Mayaguez            | PR
  121.0599975590 |  13.7594003677 | Philippines            | Batangas            | PH
  -80.3569030762 |  25.6585998535 | United States          | Miami               | US
 -113.8000030520 |  52.2667007446 | Canada                 | Red Deer            | CA
  -96.7993011475 |  32.8097991943 | United States          | Dallas              | US
 -122.0729980470 |  37.6502990723 | United States          | Hayward             | US
  -87.7596969604 |  41.7090988159 | United States          | Oak Lawn            | US
 -103.6327972410 |  41.9922981262 | United States          | Scottsbluff         | US
 -117.8189010620 |  33.9958000183 | United States          | Diamond Bar         | US
  -84.3523025513 |  33.5092010498 | United States          | Jonesboro           | US
 -110.6832962040 |  50.7999992371 | Canada                 | Buffalo             | CA
   -0.1167000011 |  51.5000000000 | United Kingdom         | London              | GB
   -2.9832999706 |  51.5833015442 | United Kingdom         | Newport             | GB
  -64.7667007446 |  46.0833015442 | Canada                 | Moncton             | CA
 -123.3731002810 |  42.4589996338 | United States          | Grants Pass         | US
   -0.6000000238 |  51.1833000183 | United Kingdom         | Godalming           | GB
   17.0333003998 |  51.0999984741 | Poland                 | Wroclaw             | PL
  104.0665969850 |  30.6667003632 | China                  | Chengdu             | CN
 -122.0224990840 |  37.9528999329 | United States          | Concord             | US
   18.6667003632 |  54.3499984741 | Poland                 | Gdansk              | PL
   -2.2832999229 |  53.7000007629 | United Kingdom         | Rawtenstall         | GB
  -58.7500000000 | -38.5499992371 | Argentina              | Necochea            | AR
  121.4085998530 |  31.0049991608 | China                  | Shanghai            | CN
   -0.8833000064 |  41.6333007813 | Spain                  | Zaragoza            | ES
 -104.8585968020 |  39.3779983521 | United States          | Castle Rock         | US
  -68.8402023315 |  44.8634986877 | United States          | Bangor              | US
  -82.1790008545 |  28.2336997986 | United States          | Zephyrhills         | US
   11.3667001724 |  46.5167007446 | Italy                  | Bolzano             | IT
   -0.1167000011 |  51.5000000000 | United Kingdom         | London              | GB
 -122.1483993530 |  37.7034988403 | United States          | San Leandro         | US
 -122.3419036870 |  47.6738014221 | United States          | Seattle             | US
  -93.4652023315 |  42.0359992981 | United States          | Ames                | US
  -84.2481994629 |  33.2463989258 | United States          | Griffin             | US
